,date
1306,20131017
1307,20131018
1308,20131021
1309,20131022
1310,20131023
1311,20131024
1312,20131025
1313,20131028
1314,20131029
1315,20131030
1316,20131031
1317,20131101
1318,20131104
1319,20131105
1320,20131106
1321,20131107
1322,20131108
1323,20131111
1324,20131112
1325,20131113
1326,20131114
1327,20131115
1328,20131118
1329,20131119
1330,20131120
1331,20131121
1332,20131122
1333,20131125
1334,20131126
1335,20131127
1336,20131128
1337,20131129
1338,20131202
1339,20131203
1340,20131204
1341,20131205
1342,20131206
1343,20131209
1344,20131210
1345,20131211
1346,20131212
1347,20131213
1348,20131216
1349,20131217
1350,20131218
1351,20131219
1352,20131220
1353,20131223
1354,20131224
1355,20131227
1356,20131230
1357,20131231
1358,20140102
1359,20140103
1360,20140106
1361,20140107
1362,20140108
1363,20140109
1364,20140110
1365,20140113
1366,20140114
1367,20140115
1368,20140116
1369,20140117
1370,20140120
1371,20140121
1372,20140122
1373,20140123
1374,20140124
1375,20140127
1376,20140128
1377,20140129
1378,20140130
1379,20140204
1380,20140205
1381,20140206
1382,20140207
1383,20140210
1384,20140211
1385,20140212
1386,20140213
1387,20140214
1388,20140217
1389,20140218
1390,20140219
1391,20140220
1392,20140221
1393,20140224
1394,20140225
1395,20140226
1396,20140227
1397,20140228
1398,20140303
1399,20140304
1400,20140305
1401,20140306
1402,20140307
1403,20140310
1404,20140311
1405,20140312
1406,20140313
1407,20140314
1408,20140317
1409,20140318
1410,20140319
1411,20140320
1412,20140321
1413,20140324
1414,20140325
1415,20140326
1416,20140327
1417,20140328
1418,20140331
1419,20140401
1420,20140402
1421,20140403
1422,20140404
1423,20140407
1424,20140408
1425,20140409
1426,20140410
1427,20140411
1428,20140414
1429,20140415
1430,20140416
1431,20140417
1432,20140422
1433,20140423
1434,20140424
1435,20140425
1436,20140428
1437,20140429
1438,20140430
1439,20140502
1440,20140505
1441,20140507
1442,20140508
1443,20140509
1444,20140512
1445,20140513
1446,20140514
1447,20140515
1448,20140516
1449,20140519
1450,20140520
1451,20140521
1452,20140522
1453,20140523
1454,20140526
1455,20140527
1456,20140528
1457,20140529
1458,20140530
1459,20140603
1460,20140604
1461,20140605
1462,20140606
1463,20140609
1464,20140610
1465,20140611
1466,20140612
1467,20140613
1468,20140616
1469,20140617
1470,20140618
1471,20140619
1472,20140620
1473,20140623
1474,20140624
1475,20140625
1476,20140626
1477,20140627
1478,20140630
1479,20140702
1480,20140703
1481,20140704
1482,20140707
1483,20140708
1484,20140709
1485,20140710
1486,20140711
1487,20140714
1488,20140715
1489,20140716
1490,20140717
1491,20140718
1492,20140721
1493,20140722
1494,20140723
1495,20140724
1496,20140725
1497,20140728
1498,20140729
1499,20140730
1500,20140731
1501,20140801
1502,20140804
1503,20140805
1504,20140806
1505,20140807
1506,20140808
1507,20140811
1508,20140812
1509,20140813
1510,20140814
1511,20140815
1512,20140818
1513,20140819
1514,20140820
1515,20140821
1516,20140822
1517,20140825
1518,20140826
1519,20140827
1520,20140828
1521,20140829
1522,20140901
1523,20140902
1524,20140903
1525,20140904
